      time,         vof [      0.9         0     0.125] - [      0.9         1     0.125],         vof [      1.4         0     0.125] - [      1.4         1     0.125],         vof [      1.9         0     0.125] - [      1.9         1     0.125],         vof [      2.5         0     0.125] - [      2.5         1     0.125],         vof [      3.5         0     0.125] - [      3.5         1     0.125],         vof [        5         0     0.125] - [        5         1     0.125],         vof [      6.7         0     0.125] - [      6.7         1     0.125],         vof [      8.4         0     0.125] - [      8.4         1     0.125],         vof [     10.2         0     0.125] - [     10.2         1     0.125]
1.2000e+00,                                                         4.778304392173388648e-01,                                                         4.857442790558599843e-01,                                                         4.747184589394577436e-01,                                                         4.768704926017794388e-01,                                                         4.706907375856571596e-01,                                                         4.757028098369901481e-01,                                                         4.718855467272820015e-01,                                                         4.579720582549491881e-01,                                                         4.634218548426400908e-01
1.2667e+00,                                                         4.784616032793568285e-01,                                                         4.858949533662156872e-01,                                                         4.749156944815814407e-01,                                                         4.770102809769182772e-01,                                                         4.709411695223199579e-01,                                                         4.753849067848302523e-01,                                                         4.716790666391094677e-01,                                                         4.584739834615231269e-01,                                                         4.637861473865531048e-01
1.3333e+00,                                                         4.788689890865394094e-01,                                                         4.859768567279426632e-01,                                                         4.750362758651068273e-01,                                                         4.770484790616125736e-01,                                                         4.711370471962948447e-01,                                                         4.750791227414843942e-01,                                                         4.714993353454678404e-01,                                                         4.589736877601369169e-01,                                                         4.638929882579508335e-01
1.4000e+00,                                                         4.792989700188703406e-01,                                                         4.861411015885930276e-01,                                                         4.752520151453429320e-01,                                                         4.772068064048727853e-01,                                                         4.713916219547535924e-01,                                                         4.748314190086787012e-01,                                                         4.713360925610068919e-01,                                                         4.594141915865964654e-01,                                                         4.638657049851643843e-01
1.4667e+00,                                                         4.794758609888976064e-01,                                                         4.862883728465763888e-01,                                                         4.754428626785042189e-01,                                                         4.772955000682481130e-01,                                                         4.716312692751424285e-01,                                                         4.746491402677592841e-01,                                                         4.712797524626609058e-01,                                                         4.599715572750089354e-01,                                                         4.636162717072745409e-01
1.5333e+00,                                                         4.799007216997089875e-01,                                                         4.864424699362326354e-01,                                                         4.756412907590205075e-01,                                                         4.774507937920601242e-01,                                                         4.718883856798081200e-01,                                                         4.744973961481615543e-01,                                                         4.711880895911714773e-01,                                                         4.603634833637891832e-01,                                                         4.638368770914215178e-01
1.6000e+00,                                                         4.801758724620635577e-01,                                                         4.865412560923333962e-01,                                                         4.757482402412999689e-01,                                                         4.775028849434127531e-01,                                                         4.720984686794220120e-01,                                                         4.743866003354577088e-01,                                                         4.711648842341272792e-01,                                                         4.607874543051630467e-01,                                                         4.639650226737416228e-01
1.6667e+00,                                                         4.804459247609498274e-01,                                                         4.867133467990146234e-01,                                                         4.759422079497602764e-01,                                                         4.776637093109931120e-01,                                                         4.723488186985209114e-01,                                                         4.743155521389825213e-01,                                                         4.711147138810178880e-01,                                                         4.610653718477311092e-01,                                                         4.639225921863348034e-01
1.7333e+00,                                                         4.804516880792100153e-01,                                                         4.869131913166819259e-01,                                                         4.761046433940249734e-01,                                                         4.777741375063059293e-01,                                                         4.725835441341667553e-01,                                                         4.743019988266043430e-01,                                                         4.711614808780966168e-01,                                                         4.614554745909056344e-01,                                                         4.636816480295290477e-01
1.8000e+00,                                                         4.807546338466881508e-01,                                                         4.871008045174580192e-01,                                                         4.762747501807979567e-01,                                                         4.779417751805611903e-01,                                                         4.728200677329591484e-01,                                                         4.742975230882510718e-01,                                                         4.711580136440164379e-01,                                                         4.616770731092076918e-01,                                                         4.640368747789897497e-01
1.8667e+00,                                                         4.809332986038039048e-01,                                                         4.872189026987638893e-01,                                                         4.763682417298135130e-01,                                                         4.780108394318468013e-01,                                                         4.730002917907084048e-01,                                                         4.743060737414939165e-01,                                                         4.711935961996263633e-01,                                                         4.619039093359973980e-01,                                                         4.642071509512715743e-01
1.9333e+00,                                                         4.811313783775709174e-01,                                                         4.874111323464371259e-01,                                                         4.765349912141982891e-01,                                                         4.781904230455726879e-01,                                                         4.732190816057372795e-01,                                                         4.743403702880210071e-01,                                                         4.712133719340484972e-01,                                                         4.620639620096614886e-01,                                                         4.643147607319167980e-01
2.0000e+00,                                                         4.811089229836407188e-01,                                                         4.876178957636325140e-01,                                                         4.766799036951423485e-01,                                                         4.783196497782708501e-01,                                                         4.734126475339831552e-01,                                                         4.743921659727564633e-01,                                                         4.712771893826438463e-01,                                                         4.622678385310363680e-01,                                                         4.642684504795172029e-01
2.0667e+00,                                                         4.806574866693173465e-01,                                                         4.878646707201355071e-01,                                                         4.769000753527902758e-01,                                                         4.785503785629549034e-01,                                                         4.736407022099599073e-01,                                                         4.744543657028331696e-01,                                                         4.713106645494353208e-01,                                                         4.623656492463710244e-01,                                                         4.646562184162815745e-01
2.1333e+00,                                                         4.811476599766715823e-01,                                                         4.879477430584752695e-01,                                                         4.769617237107085517e-01,                                                         4.786326337482922910e-01,                                                         4.737846689385197263e-01,                                                         4.745011776764015421e-01,                                                         4.713781944247579236e-01,                                                         4.625364242200705189e-01,                                                         4.650801741919999843e-01
2.2000e+00,                                                         4.815683947058219672e-01,                                                         4.880920499482611086e-01,                                                         4.771175900446278928e-01,                                                         4.788297980816321187e-01,                                                         4.739746269341722495e-01,                                                         4.745584768098718986e-01,                                                         4.714186749951393418e-01,                                                         4.626224421845930301e-01,                                                         4.654350705715809000e-01
